項次,商店全名,連絡電話,商店地址
362,7-11中勇門市,02-27478711#3961,408台中市南屯區忠勇路111-1、111-2號
363,7-11巧聖門市,02-27478711#3961,412臺中市大里區西榮里益民路二段137號
364,7-11松東門市,02-27478711#3961,406台中市北屯區松竹路3段125號
365,7-11台鐵門市,02-27478711#3961,400台中市中區建國路172號
366,7-11新墩興門市,02-27478711#3961,408台中市南屯區東興路二段98號1樓
367,7-11巧竹門市,02-27478711#3961,436臺中市清水區海濱里臨海路46-53、46-54號
368,7-11里德門市,02-27478711#3961,412臺中市大里區德芳南路211號
369,7-11東村門市,02-27478711#3961,411臺中市太平區東平路512號
370,7-11后興門市,02-27478711#3961,421臺中市后里區甲后路728號
371,7-11嶺中門市,02-27478711#3961,408台中市南屯區永春南路117號1樓
372,7-11聚懋門市,02-27478711#3961,408台中市南屯區大墩路287、289號一樓
373,7-11大茅埔門市,02-27478711#3961,423臺中市東勢區東關路291之11、12號
374,7-11金大安門市,02-27478711#3961,439臺中市大安區中庄村中山南路323、325號1樓
375,7-11潭北門市,02-27478711#3961,427臺中市潭子區潭北村仁愛路三段28號
376,7-11東展門市,02-27478711#3961,423臺中市東勢區南平里豐勢路336號
377,7-11軍福門市,02-27478711#3961,406台中市北屯區水景里軍功路一段497號
378,7-11九德門市,02-27478711#3961,414臺中市烏日區九德村中華路45.47號1樓
379,7-11蓋夏門市,02-27478711#3961,433臺中市沙鹿區中棲路200號
380,7-11高美祿門市,02-27478711#3961,436臺中市清水區高美路190號1樓
381,7-11頭張門市,02-27478711#3961,427臺中市潭子區家福村頭張路一段31號
382,7-11興昌門市,02-27478711#3961,406台中市北屯區興安路2段60號1樓
383,7-11瀋陽門市,02-27478711#3961,406台中市北屯區瀋陽路1段113號
384,7-11益華門市,02-27478711#3961,404台中市北區健行路49號
385,7-11忠權門市,02-27478711#3961,404台中市北區民權路586號
386,7-11富強門市,02-27478711#3961,404台中市北區富強街46號
387,7-11明義門市,02-27478711#3961,403台中市西區美村路1段22號
388,7-11東富門市,02-27478711#3961,412臺中市大里區東榮路282號
389,7-11瑞盟門市,02-27478711#3961,407台中市西屯區西屯路三段159號之12.
390,7-11豐泰門市,02-27478711#3961,420臺中市豐原區豐勢路二段396號
391,7-11金典門市,02-27478711#3961,403台中市西區健行路1046;1046之1號
392,7-11祐瑄門市,02-27478711#3961,433臺中市沙鹿區光華路502.506號
393,7-11新民高中門市,02-27478711#3961,404台中市北區金龍里三民路三段289號
394,7-11新民國門市,02-27478711#3961,404台中市北區金龍里三民路三段289號
395,7-11新甲后門市,02-27478711#3961,438臺中市外埔區甲后路421.423號
396,7-11潭慶門市,02-27478711#3961,427臺中市潭子區大豐路三段123號
397,7-11潭富門市,02-27478711#3961,427臺中市潭子區中山路二段585之1號
398,7-11昌泰門市,02-27478711#3961,406台中市北屯區旱溪東路3段2號
399,7-11農會門市,02-27478711#3961,426臺中市新社區新社村中和街四段226號
400,7-11易鴻門市,02-27478711#3961,413臺中市霧峰區南柳村柳豐路368.370號1F
401,7-11環中門市,02-27478711#3961,407台中市西屯區環中路一段805之1號
402,7-11文化中心門市,02-27478711#3961,403台中市西區英才路600號
403,7-11潭德門市,02-27478711#3961,427臺中市潭子區崇德路五段489號
404,7-11中潭門市,02-27478711#3961,427臺中市潭子區圓通南路136號
405,7-11雅興門市,02-27478711#3961,428臺中市大雅區雅潭路183號
406,7-11展碩門市,02-27478711#3961,428臺中市大雅區永和路149巷28號
407,7-11友達光電門市,02-27478711#3961,407台中市西屯區中科路1號
408,7-11宥辰門市,02-27478711#3961,412臺中市大里區立新街350號
409,7-11國安國宅門市,02-27478711#3961,407台中市西屯區國安一路208巷1號
410,7-11瑞陽門市,02-27478711#3961,408台中市南屯區大墩12街642號
411,7-11東俊門市,02-27478711#3961,407台中市西屯區台中港路三段181號
412,7-11東麗門市,02-27478711#3961,407台中市西屯區台中港路三段181號
413,7-11校友會館門市,02-27478711#3961,407台中市西屯區台中港路三段181號
414,7-11直興門市,02-27478711#3961,420臺中市豐原區水源路695號
415,7-11友達宿舍門市,02-27478711#3961,407台中市西屯區中科路1號
416,7-11第一廣場門市,02-27478711#3961,400台中市中區中正路36號
417,7-11益昇門市,02-27478711#3961,412臺中市大里區益民路一段90號
418,7-11潭寶門市,02-27478711#3961,427臺中市潭子區潭興路三段51號
419,7-11詠珊門市,02-27478711#3961,435臺中市梧棲區大智路1017號
420,7-11漢華門市,02-27478711#3961,404台中市北區漢口路五段60.62.66號1樓
421,7-11新中工門市,02-27478711#3961,407台中市西屯區工業區一路58之1號
422,7-11神寶門市,02-27478711#3961,429臺中市神岡區中正路100號
423,7-11萬峰門市,02-27478711#3961,413臺中市霧峰區中正路146-20號
424,7-11婷婷門市,02-27478711#3961,404台中市北區學士路65號
425,7-11豐春門市,02-27478711#3961,408台中市南屯區文心南路100號.
426,7-11永隆門市,02-27478711#3961,412臺中市大里區大明路457號
427,7-11惠文門市,02-27478711#3961,408台中市南屯區河南路四段230、232號
428,7-11鎮揚門市,02-27478711#3961,433臺中市沙鹿區南陽路439號.
429,7-11親旺門市,02-27478711#3961,432臺中市大肚區新興村沙田路二段219之1號
430,7-11豐河門市,02-27478711#3961,408台中市南屯區河南路四段502.504號
431,7-11精田門市,02-27478711#3961,408台中市南屯區黎明路一段102號
432,7-11大鼎門市,02-27478711#3961,412臺中市大里區至善路139號1樓
433,7-11中強門市,02-27478711#3961,407台中市西屯區中港路三段64.66號
434,7-11福康門市,02-27478711#3961,407台中市西屯區福林里福康路33號
435,7-11義興門市,02-27478711#3961,402台中市南區復興路一段128號
436,7-11承軒門市,02-27478711#3961,429臺中市神岡區民生路48之7.8.9號
437,7-11福豐門市,02-27478711#3961,421臺中市后里區福美路17號
438,7-11松強門市,02-27478711#3961,406台中市北屯區松安里崇德六路一段47號
439,7-11弘新門市,02-27478711#3961,435臺中市梧棲區永興路一段112號
440,7-11雅典門市,02-27478711#3961,402台中市南區三民西路377號西川一路1號
441,7-11丰瑞門市,02-27478711#3961,406台中市北屯區四民里四平路563號
442,7-11后寶門市,02-27478711#3961,421臺中市后里區三豐路113之24.25號
443,7-11沙鹿光田門市,02-27478711#3961,433臺中市沙鹿區沙田路115號
444,7-11安河門市,02-27478711#3961,407台中市西屯區河南路二段14號
445,7-11西屯重慶門市,02-27478711#3961,407台中市西屯區西屯路二段95之25號
446,7-11興悅門市,02-27478711#3961,404台中市北區金華里進德北路160.162號
447,7-11新永大門市,02-27478711#3961,412臺中市大里區大明路334號
448,7-11萳陽門市,02-27478711#3961,420臺中市豐原區南陽路480號
449,7-11新忠貞門市,02-27478711#3961,433臺中市沙鹿區東海路42號
450,7-11大安港門市,02-27478711#3961,437臺中市大甲區大安港路118號
451,7-11中投門市,02-27478711#3961,413臺中市霧峰區五福村中投西路二段398號
452,7-11雅神門市,02-27478711#3961,428臺中市大雅區中正路花眉巷1之3號
453,7-11豐環門市,02-27478711#3961,420臺中市豐原區豐原大道1段370號
454,7-11潭豐門市,02-27478711#3961,427臺中市潭子區崇德路4段250之1號
455,7-11光大國宅門市,02-27478711#3961,404台中市北區文莊里日興街180號1樓
456,7-11惠中門市,02-27478711#3961,408台中市南屯區干城街267號
457,7-11朝陽大學門市,02-27478711#3961,413臺中市霧峰區吉峰東路62號
458,7-11綠點門市,02-27478711#3961,428臺中市大雅區神林路一段300.302號
459,7-11新春社門市,02-27478711#3961,408台中市南屯區永春南路136.138號
460,7-11長德門市,02-27478711#3961,411臺中市太平區長億里永成北路125號
461,7-11菁埔門市,02-27478711#3961,436臺中市清水區中央北路1號
462,7-11東洲門市,02-27478711#3961,420臺中市豐原區豐原大道7段488號
463,7-11福雅門市,02-27478711#3961,407台中市西屯區福雅路338號
464,7-11台中高鐵門市,02-27478711#3961,414臺中市烏日區站區二路8號2樓
465,7-11昌旺門市,02-27478711#3961,406台中市北屯區昌平路二段12之16號
466,7-11豐原道門市,02-27478711#3961,420臺中市豐原區水源路307號
467,7-11國校門市,02-27478711#3961,406台中市北屯區國校巷16號
468,7-11新文化門市,02-27478711#3961,403台中市西區中美街283號
469,7-11潭興門市,02-27478711#3961,427臺中市潭子區豐興路1段593.595號
470,7-11彩豐門市,02-27478711#3961,421臺中市后里區三豐路473之5號
471,7-11樹王門市,02-27478711#3961,412臺中市大里區文心南路1252號
472,7-11龍峰門市,02-27478711#3961,434臺中市龍井區新庄村中龍路2段298號
473,7-11沙鹿中山門市,02-27478711#3961,433臺中市沙鹿區中山路198號
474,7-11薰衣草門市,02-27478711#3961,426臺中市新社區協中街169之1號
475,7-11鎮欣門市,02-27478711#3961,433臺中市沙鹿區北勢里鎮南路二段368號
476,7-11吉龍門市,02-27478711#3961,403台中市西區忠明南路410號
477,7-11錦中門市,02-27478711#3961,404台中市北區三民路3段258號
478,7-11墩業門市,02-27478711#3961,408台中市南屯區大墩路717-5號
479,7-11市民門市,02-27478711#3961,403台中市西區公益路157號.
480,7-11篤信門市,02-27478711#3961,403台中市西區中港路1段74號
481,7-11市鑫門市,02-27478711#3961,400台中市中區自由路2段6號
482,7-11美群門市,02-27478711#3961,412臺中市大里區美群路60號
483,7-11五權門市,02-27478711#3961,403台中市西區五權路1-201號
484,7-11港安門市,02-27478711#3961,407台中市西屯區西屯路三段179之9號
485,7-11逢盛門市,02-27478711#3961,407台中市西屯區福星路330號
486,7-11大肚門市,02-27478711#3961,432臺中市大肚區沙田路二段740號
487,7-11進德門市,02-27478711#3961,401台中市東區自由路3段226號.進德路77號
488,7-11墩南門市,02-27478711#3961,408台中市南屯區南屯路二段212號1樓
489,7-11進溢門市,02-27478711#3961,404台中市北區錦村里進化路280號.
490,7-11上福門市,02-27478711#3961,407台中市西屯區中平路212及216號1樓
491,7-11奇晉門市,02-27478711#3961,429臺中市神岡區豐洲路469號1樓
492,7-11精明門市,02-27478711#3961,403台中市西區精誠路64.66號
493,7-11昌鴻門市,02-27478711#3961,404台中市北區賴厝里山西路一段65.67號1樓
494,7-11潮洋門市,02-27478711#3961,407台中市西屯區市政路596號
495,7-11里仁門市,02-27478711#3961,412臺中市大里區國光路2段411號
496,7-11民主門市,02-27478711#3961,402台中市南區復興路3段322.324.326號
497,7-11立夫門市,02-27478711#3961,404台中市北區育德路2號
498,7-11中友門市,02-27478711#3961,404台中市北區育才北路74、76號
499,7-11美生門市,02-27478711#3961,403台中市西區美村路1段54號
500,7-11東陽門市,02-27478711#3961,404台中市北區大雅路50-2.50-3.50-5號
501,7-11超全門市,02-27478711#3961,428臺中市大雅區中清路4段328號1樓
502,7-11台麗門市,02-27478711#3961,403台中市西區五權路119號
503,7-11神林門市,02-27478711#3961,428臺中市大雅區神林南路144號
504,7-11久豐門市,02-27478711#3961,421臺中市后里區三光路36號.
505,7-11衛道門市,02-27478711#3961,404台中市北區進化北路378-6號
506,7-11清峰門市,02-27478711#3961,436臺中市清水區中華路330號
507,7-11港臻門市,02-27478711#3961,435臺中市梧棲區文昌路333號
508,7-11文嶺門市,02-27478711#3961,408台中市南屯區嶺東路806號
509,7-11松潭門市,02-27478711#3961,406台中市北屯區軍功路二段183號1樓
510,7-11三豐路門市,02-27478711#3961,420臺中市豐原區三豐路909號
511,7-11文勝門市,02-27478711#3961,408台中市南屯區惠文路499號
512,7-11晉豐門市,02-27478711#3961,420臺中市豐原區西勢路425號
513,7-11新國光門市,02-27478711#3961,402台中市南區國光路82及84號;愛國街69號
514,7-11興春門市,02-27478711#3961,408台中市南屯區永春東路96號
515,7-11中台禾豐門市,02-27478711#3961,406台中市北屯區太原路三段1505號
516,7-11大里城門市,02-27478711#3961,412臺中市大里區仁堤路6號
517,7-11鑫鑽門市,02-27478711#3961,408台中市南屯區文心南三路663號
518,7-11鈞泰門市,02-27478711#3961,406台中市北屯區太原路三段1112之1、1120之1號1樓
519,7-11東侑門市,02-27478711#3961,406台中市北屯區東山路一段378之17號
520,7-11永源村門市,02-27478711#3961,426臺中市新社區東山街88-29.30號
521,7-11后冠門市,02-27478711#3961,421臺中市后里區民生路1號
522,7-11宸騰門市,02-27478711#3961,407台中市西屯區上石路201號
523,7-11鈦譜門市,02-27478711#3961,434臺中市龍井區龍東村舊車路臨115號
524,7-11中榮門市,02-27478711#3961,407台中市西屯區台中港路三段160號
525,7-11育成門市,02-27478711#3961,413臺中市霧峰區樹仁路161-1及161-2號
526,7-11逢喜門市,02-27478711#3961,407台中市西屯區逢甲路247號
527,7-11鹿興門市,02-27478711#3961,433臺中市沙鹿區中興路401.401-1號
528,7-11新光德門市,02-27478711#3961,414臺中市烏日區信義街162號1樓
529,7-11甜園門市,02-27478711#3961,427臺中市潭子區安和路9號
530,7-11瑞慶門市,02-27478711#3961,420臺中市豐原區豐原大道3段261號
531,7-11新亞大門市,02-27478711#3961,413臺中市霧峰區中正路473.475號
532,7-11鄉林夏都門市,02-27478711#3961,403台中市西區忠明南路116之1號
533,7-11榮泉門市,02-27478711#3961,414臺中市烏日區中山路三段1007號
534,7-11亞洲一店門市,02-27478711#3961,413臺中市霧峰區柳豐路500號
535,7-11新豐功門市,02-27478711#3961,408台中市南屯區豐樂里永春東路860號
536,7-11詠豐門市,02-27478711#3961,408台中市南屯區永定里永春路28之2號
537,7-11權勝門市,02-27478711#3961,408台中市南屯區永定里五權西路2段812號
538,7-11雅勝門市,02-27478711#3961,428臺中市大雅區二和村3鄰雅潭路299之13號
539,7-11永在門市,02-27478711#3961,437臺中市大甲區日南里黎明路3之21號1樓
540,7-11華太門市,02-27478711#3961,404台中市北區中華路二段137號
541,7-11鑫井源門市,02-27478711#3961,434臺中市龍井區沙田路六段323號
542,7-11東英門市,02-27478711#3961,401台中市東區自由路四段339號
543,7-11中醫五權門市,02-27478711#3961,404台中市北區學士路2號
544,7-11福上門市,02-27478711#3961,407台中市西屯區河南路2段71號1樓
545,7-11群豐門市,02-27478711#3961,429臺中市神岡區大豐路196-1號
546,7-11豐業門市,02-27478711#3961,408台中市南屯區豐樂里黎明路一段850號
547,7-11忠明義門市,02-27478711#3961,403台中市西區忠明南路23.25號
548,7-11中湖門市,02-27478711#3961,412臺中市大里區中興路一段292之11及292之12號
549,三好商店,04-22765590#17,411臺中市太平區大源路38號
550,7-11潭春門市,02-27478711#3961,427臺中市潭子區東寶村大豐路二段1號1樓
551,7-11鑫華新門市,02-27478711#3961,400台中市中區中華里中華路一段75.77號;民族路218號
552,7-11大衛門市,02-27478711#3961,412臺中市大里區國中路276號
553,7-11大洲門市,02-27478711#3961,429臺中市神岡區大洲路299之1號
554,7-11鑫友達門市,02-27478711#3961,407台中市西屯區中科路1號
555,7-11高工門市,02-27478711#3961,402台中市南區永興里高工路202號
556,7-11鑫工和門市,02-27478711#3961,407台中市西屯區協和里工業區38路30號1樓
557,7-11光隆門市,02-27478711#3961,411臺中市太平區光興路831號;興隆路262號
558,7-11鹿維門市,02-27478711#3961,433臺中市沙鹿區北勢東路330號
559,7-11東泓門市,02-27478711#3961,401台中市東區東門里東門路140號
560,7-11鈺英門市,02-27478711#3961,437臺中市大甲區育英路283號
561,7-11保屏門市,02-27478711#3961,433臺中市沙鹿區中興路528號
562,7-11新政門市,02-27478711#3961,437臺中市大甲區信義路193號
563,7-11中台人門市,02-27478711#3961,406台中市北屯區部(ㄅㄨ)子里部(ㄅㄨ)子巷11號
564,7-11新北庄門市,02-27478711#3961,429臺中市神崗鄉北庄村中山路1320-3號
565,7-11天仁門市,02-27478711#3961,433臺中市沙鹿區斗抵里沙田路17之19號
566,7-11新平智門市,02-27478711#3961,401台中市東區新庄里大智路49號
567,7-11廣裕門市,02-27478711#3961,428臺中市大雅區橫山村中山路128號
568,7-11新豐寶門市,02-27478711#3961,420臺中市豐原區中山路143-2號1樓
569,7-11科博館門市,02-27478711#3961,404台中市北區博館路80號
570,7-11神岡門市,02-27478711#3961,429臺中市神岡區中山路113號
571,7-11保誠門市,02-27478711#3961,403台中市西區五權路2-104號.貴和街222號
572,正昌電器有限公司,04-22780639,411臺中市太平區406太平區太平路575號
573,7-11三中門市,02-27478711#3961,403台中市西區忠明路56號
574,7-11中醫門市,02-27478711#3961,404台中市北區育德路13號
575,7-11公正門市,02-27478711#3961,403台中市西區美村路一段271號
576,7-11逢德門市,02-27478711#3961,407台中市西屯區青海路二段321.323號.
577,7-11復大門市,02-27478711#3961,401台中市東區復興路四段231-5、231-6號1樓
578,7-11鼎站門市,02-27478711#3961,400台中市中區建國路202號
579,7-11龍新門市,02-27478711#3961,434臺中市龍井區新興路18號1樓
580,7-11篤行門市,02-27478711#3961,404台中市北區篤行路120.122號
581,7-11大鵬門市,02-27478711#3961,407台中市西屯區長安路二段125號
582,7-11文華門市,02-27478711#3961,407台中市西屯區寧夏路232號
583,7-11建智門市,02-27478711#3961,401台中市東區建成路668號
584,7-11新里門市,02-27478711#3961,412臺中市大里區中興路2段480號.
585,7-11寧夏門市,02-27478711#3961,407台中市西屯區寧夏路105號
586,7-11逢仁門市,02-27478711#3961,407台中市西屯區青海路二段262號
587,7-11海濱門市,02-27478711#3961,436臺中市清水區西社里海濱路168之1
588,7-11美德門市,02-27478711#3961,404台中市北區美德街138號1樓
589,7-11新樹孝門市,02-27478711#3961,411臺中市太平區樹孝路109號1樓
590,7-11鰲峰門市,02-27478711#3961,436臺中市清水區鰲峰路22號
591,7-11新庄門市,02-27478711#3961,434臺中市龍井區台中港路42.46-1號
592,7-11新美門市,02-27478711#3961,437臺中市大甲區經國路329號
593,7-11元百門市,02-27478711#3961,412臺中市大里區成功路491.493號
594,7-11新德化門市,02-27478711#3961,404台中市北區德化街660號
595,7-11樹廣門市,02-27478711#3961,411臺中市太平區樹德路98-9號
596,7-11台中東山門市,02-27478711#3961,406台中市北屯區軍功里東山路一段221號
597,7-11新興陽門市,02-27478711#3961,406台中市北屯區興安路1段265號
598,7-11新堤門市,02-27478711#3961,412臺中市大里區立德里甲堤南路71號
599,7-11墩正門市,02-27478711#3961,408台中市南屯區溝墘里大墩11街330號1樓
600,7-11地球村門市,02-27478711#3961,400台中市中區中山里中山路2號
601,7-11福漢門市,02-27478711#3961,407台中市西屯區何福里漢口路二段112.112-1號
602,7-11鑫巴黎門市,02-27478711#3961,406台中市北屯區崇德路二段199號1樓
603,7-11鑫工三門市,02-27478711#3961,407台中市西屯區福安里中工三路128及130號1樓
604,千中電業工程企業有限公司,04-22765590#17,411臺中市太平區光興路635號
605,7-11億承門市,02-27478711#3961,436臺中市清水區民權路69號
606,7-11鑫廣門市,02-27478711#3961,402台中市南區福順里忠明南路787號
607,7-11新德勝門市,02-27478711#3961,428臺中市大雅區民生路三段68.70號
608,7-11豐肚門市,02-27478711#3961,432臺中市大肚區社腳村沙田路一段916號
609,7-11后糖門市,02-27478711#3961,421臺中市后里區甲后路835號1樓
610,7-11佳茂門市,02-27478711#3961,427臺中市潭子區中山路一段17號1樓
611,7-11豐尚門市,02-27478711#3961,420臺中市豐原區豐勢路二段680號一樓
612,7-11朝科大門市,02-27478711#3961,413臺中市霧峰區吉峰東路168號宿舍大樓
613,7-11新振興門市,02-27478711#3961,401台中市東區十甲東路217號
614,7-11慶樹門市,02-27478711#3961,402台中市南區樹德里大慶街2段36號
615,7-11鑫港醫門市,02-27478711#3961,407台中市西屯區台中港路三段160號1樓
616,7-11新豐喜門市,02-27478711#3961,420臺中市豐原區南陽路127號1樓
617,7-11欣谷關門市,02-27478711#3961,424臺中市和平區東關路一段135-2號1樓
618,7-11鑫和睦門市,02-27478711#3961,429臺中市神岡區神清路266.268號及福成路56-1號
619,7-11鑫佳慶門市,02-27478711#3961,411臺中市太平區大源二街1.3號1F
620,7-11墩富門市,02-27478711#3961,408台中市南屯區大墩路572號
621,7-11親親門市,02-27478711#3961,404台中市北區錦洲里北屯路14號1樓
622,7-11天佑門市,02-27478711#3961,407台中市西屯區中工二路196號
623,7-11鹿心門市,02-27478711#3961,433臺中市沙鹿區興仁里四平街58號.
624,7-11烏日門市,02-27478711#3961,414臺中市烏日區新興路127號
625,7-11昌順門市,02-27478711#3961,406台中市北屯區北屯路439之16號1樓
626,7-11汶莊門市,02-27478711#3961,404台中市北區大雅路27-15號
627,7-11豐源門市,02-27478711#3961,420臺中市豐原區圓環東路864號
628,7-11大榮門市,02-27478711#3961,411臺中市太平區中興東路189.191號
629,正興電業行,04-24920443,412臺中市大里區412臺中市大里區塗城路316號
630,7-11中興嶺門市,02-27478711#3961,426臺中市新社區中興嶺69號
631,7-11萬寶門市,02-27478711#3961,406台中市北屯區中清路105-7號
632,7-11中川門市,02-27478711#3961,407台中市西屯區台中港路2段60之5號.
633,7-11東風門市,02-27478711#3961,434臺中市龍井區遠東街3號
634,7-11亞和門市,02-27478711#3961,428臺中市大雅區中山北路410號
635,7-11鼎隆門市,02-27478711#3961,412臺中市大里區日新路237號
636,7-11松豪門市,02-27478711#3961,406台中市北屯區四平路218號
637,7-11福星門市,02-27478711#3961,407台中市西屯區福星路580號
638,7-11大明門市,02-27478711#3961,412臺中市大里區中興路2段833.835號
639,7-11欣東雲門市,02-27478711#3961,423臺中市東勢區第五橫街28號及三民街165號
640,7-11上楓樹門市,02-27478711#3961,408台中市南屯區中和里黎明路一段263號
641,7-11欣三豐門市,02-27478711#3961,420臺中市豐原區三豐路89.93.95號
642,7-11明樓門市,02-27478711#3961,402台中市南區明德街84號
643,7-11欣花園門市,02-27478711#3961,406台中市北屯區中清西二街27.29號一樓
644,7-11忠福門市,02-27478711#3961,403台中市西區忠明南路192號
645,大吉五金行,04-25155046,414臺中市烏日區光日路89號
646,綸泰企業(股)公司豐原,04-25240756,420臺中市豐原區420臺中市豐原區圓環南路239號
647,西北電器社,04-24834343,412臺中市大里區中興路二段392之3號
648,吉順機車行,04-22388172,404臺中市北區富強街1號
649,聯宏輪業行,04-22113888,401臺中市東區十甲東路397號
650,展暉電器有限公司,04-26992463,432臺中市大肚區432臺中市大肚區沙田路2段736號
651,長宏家庭百貨有限公司-好鄰居,04-24968402,412臺中市大里區成功路538號
652,弘盛電器行,04-24920631,412臺中市大里區412臺中市大里區瑞城里向學路54號
653,日誠電器行,04-24919918,412臺中市大里區仁化路562號
654,良發車業有限公司,04-26563950,435臺中市梧棲區居仁街350巷16號
655,國防部福利事業管理處臺中福利站,04-22120280,401臺中市東區自由路3段30號
656,清水鎮農會超市,04-26232150,436臺中市清水區新興路1-32號
657,建國書局,04-26232235,436臺中市清水區光華路156號
658,昇和電業行,04-24811600,412臺中市大里區國光里永興路30號1F
659,新昇輪機車行,04-22811612,402臺中市南區忠明南路1242號
660,大里市農會農民購物中心,04-24070289,412臺中市大里區新里里新興路101號
661,特力屋股份有限公司北屯分公司,04-2247-1000#666,406臺中市北屯區北屯路407-1號
662,特力屋股份有限公司豐原分公司,04-2513-2200#666,420臺中市豐原區水源路420號
663,特力屋股份有限公司西屯分公司,02-87916668#6554,407臺中市西屯區臺灣大道四段528號
664,特力屋股份有限公司台中大墩分公司,04-23282229,408臺中市南屯區大墩路533號B1
665,進德機車行,04-22033646,404臺中市北區西屯路一段234號
666,台灣家樂福股份有限公司豐原豐南分公司,04-25280897,420臺中市豐原區豐南街118號1樓
667,台灣家樂福股份有限公司台中沙鹿分公司,04-26652300,433臺中市沙鹿區光華路336號
668,秀明電器行,04-25872529,423臺中市東勢區豐勢路290號
669,家福股份有限公司台中崇德分公司,04-22372710#281,404臺中市北區崇德路一段625號
670,家福股份有限公司台中大墩分公司,04-23108467#880,408臺中市南屯區大墩路533號
671,家福股份有限公司中清分公司,04-24262555#881,406台中市中清路208號
672,家福股份有限公司台中德安分公司,04-2223-6677#880,401臺中市東區復興路4段186號地下1樓.2樓
673,家福股份有限公司 太平分公司,04-22778068#880,411臺中市太平區中平七街70號
674,家福股份有限公司青海分公司,04-27073866#880,407台中市青海路2段207-18號
675,家福股份有限公司文心分公司,04-22543355#880,408台中市文心路一段521號
676,家福股份有限公司 豐原分公司,04-25265151#880,420臺中市豐原區成功路500號
677,沅富電器行,04-25621230,429臺中市神岡區神岡路23號
678,永鑫電器行,04-25611408,429臺中市神岡區429臺中市神岡區三民路6號
679,中華電信股份有限公司臺灣南區電信分公司臺中營運處臺中北屯服務中心,02-23445862,406臺中市北屯區三光里北屯路208-5號
680,中華電信股份有限公司臺灣南區電信分公司臺中營運處學士服務中心,02-23445862,404臺中市北區賴村里學士路187號
681,中華電信股份有限公司臺灣南區電信分公司臺中營運處豐原服務中心,02-23445862,420臺中市豐原區豐西里3鄰豐西街21號
682,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,403臺中市西區利民里市府路37號
683,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,408臺中市南屯區文心路一段351號
684,中華電信股份有限公司台灣南區電信分公司台中營運處工學服務中心,02-23445862,402臺中市南區工學路82號
685,中華電信股份有限公司臺灣南區電信分公司臺中營運處崇德服務中心,02-23445862,406臺中市北屯區崇德路三段165號
686,中華電信股份有限公司臺灣南區電信分公司臺中營運處北台中服務中心,02-23445862,404臺中市北區中清路一段347號
687,中華電信股份有限公司臺灣南區電信分公司臺中營運處永福服務中心,02-23445862,407臺中市西屯區福雅路128巷58號
688,中華電信股份有限公司臺灣南區電信分公司臺中營運處永豐服務中心,02-23445862,411臺中市太平區太平路577號
689,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,435臺中市梧棲區大智路二段197號
690,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,437臺中市大甲區順天路159號
691,中華電信股份有限公司臺灣南區電信分公司臺中營運處潭子服務中心,02-23445862,427臺中市潭子區潭興路三段40號
692,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,433臺中市沙鹿區中山路205號
693,中華電信（股）臺灣南區電信分公司臺中營運處國光服務中,02-23445862,412臺中市大里區國光路二段735號
694,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,423臺中市東勢區本街244號
695,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,437臺中市大甲區中山路二段183號
696,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,408臺中市南屯區黎明路一段975號
697,中華電信股份有限公司臺灣南區電信分公司臺中營運處霧峰服務中心,02-23445862,413臺中市霧峰區中正路933號
698,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,433臺中市沙鹿區中航路1段168號
699,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,436臺中市清水區中山路79號
700,中華電信股份有限公司臺灣南區電信分公司臺中營運處塗城服務中心,02-23445862,412臺中市大里區成功路463號
701,中華電信股份有限公司臺灣南區電信分公司臺中營運處臺中永安服務中心,02-23445862,407臺中市西屯區台灣大道四段1238號
702,中華電信股份有限公司臺灣南區電信分公司臺中營運處曉明服務中心,02-23445862,404臺中市北區中清路一段561號
703,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,412臺中市大里區大智路727號
704,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,406臺中市北屯區中清路二段713號
705,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,407臺中市西屯區西屯路二段104號
706,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,404臺中市北區進化路322號
707,中華電信股份有限公司臺灣南區電信分公司臺中營運處后里服務中心,02-23445862,421臺中市后里區甲后路一段641號
708,中華電信股份有限公司臺灣南區電信分公司臺中營運處東山服務中心,02-23445862,407臺中市西屯區大墩路932號
709,中華電信股份有限公司臺灣南區電信分公司臺中營運處東山服務中心,02-23445862,406臺中市北屯區東山路一段212 之2 號
710,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,432臺中市大肚區榮華街3號
711,中華電信股份有限公司臺灣南區電信分公司臺中營運處太平服務中心,02-23445862,411臺中市太平區樹孝路25號
712,中華電信股份有限公司台灣南區電信分公司台中營運處,02-23445862,428臺中市大雅區民興街59號
