醫院名稱,開業證號,區域,醫院地址,醫院電話,業務類別,門診時間
聖安動物醫院,中市獸醫開字第105143號,潭子區,中山路1段17-5號,04-25350238,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
葆生動物醫院,中市獸醫開字第105216號,潭子區,圓通南路268號,04-25340683,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
名鼎動物醫院,中市獸醫開字第105184號,潭子區,潭興路3段95號,04-25323270,合法動物醫院,
大雅動物醫院,中市獸醫開字第105020號,大雅區,中清路三段1045號,04-25608583,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
文清動物醫院,中市獸醫開字第105083號,大雅區,民生路1段290號,04-25652370,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
毛毛動物診所,中市獸醫開字第105219號,烏日區,新興路111號,04-23371199,合法動物醫院,
英仁動物醫院,中市獸醫開字第105193號,烏日區,光日路145號,04-23385708,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
育昇動物醫院,中市獸醫開字第105156號,烏日區,中山路1段406號,04-23366119,"合法動物醫院,特約狂犬病預防注射",
星光動物醫院,中市獸醫開字第105198號,龍井區,遊園南路403號,04-26520185,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
天富家畜診所,中市獸醫開字第105127號,龍井區,沙田路四段272號,04-26353427,"合法動物醫院,特約狂犬病預防注射",
家旭動物醫院,中市獸醫開字第105095號,霧峰區,中正路767之9號,04-23393826,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
愛犬動物醫院,中市獸醫開字第105202號,霧峰區,中正路1112號,04-23308787,"合法動物醫院,特約狂犬病預防注射",
嘉恩動物醫院,中市獸醫開字第105214號,霧峰區,林森路768-1號,04-23311118,"合法動物醫院,特約狂犬病預防注射",
大原動物醫院,中市獸醫開字第105138號,南屯區,黎明路二段165號1樓,04-23891108,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
豐陽動物醫院,中市獸醫開字第105048號,西區,林森路96號,04-23780808,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
胖胖動物醫院,中市獸醫開字第105122號,南區,國光路58號,04-22297899,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
全科動物醫院,中市獸醫開字第105162號,太平區,育賢路226號,04-23934689,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
宏仁動物醫院,中市獸醫開字第105222號,清水區,中華路442巷7號,04-26221278,"合法動物醫院,特約狂犬病預防注射",
愛普生動物醫院,中市獸醫開字第105094號,大里區,美群路46號,04-24950118,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
名芯動物醫院,中市獸醫開字第105085號,大里區,爽文路899號,04-24180989,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
佑全動物醫院,中市獸醫開字第105105號,大雅區,雅潭路4段668號,04-25692123,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
喵屋貓咪專科醫院,中市獸醫開字第105190號,南屯區,大墩17街125號及127號,04-23283681,合法動物醫院,
毛導動物醫院,中市獸醫開字第105077號,北區,健行路371號,04-22353457,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
感恩動物醫院,中市獸醫開字第105177號,北區,忠明路131號,04-23202590,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
碩恩動物醫院,中市獸醫開字第105179號,南區,德祥街72號,04-22626296,"合法動物醫院,特約狂犬病預防注射",
佳群動物醫院,中市獸醫開字第105212號,西屯區,台中市西屯區福雅路51號,04-24636366,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
歐陽動物醫院,中市獸醫開字第105117號,南屯區,惠中路三段68號,04-23815800,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
艾利動物醫院,中市獸醫開字第105125號,西屯區,台中市西屯區惠中路二段41號,04-22589518,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
長春心時代動物醫院,中市獸醫開字第105100號,西屯區,西屯路二段17之1號,04-23171689,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
興旺動物醫院,中市獸醫開字第105201號,南屯區,五權西路二段1146號,04-23890700,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
貞愛動物醫院,中市獸醫開字第105005號,豐原區,豐原大道四段457號,04-25238628,合法動物醫院,
龍恩動物醫院,中市獸醫開字第105011號,南屯區,大墩六街287號1樓,04-23830622,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
尼昂貓專科醫院,中市獸醫開字第105152號,南區,復興路二段133號,04-22601470,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
懷恩動物醫院,中市獸醫開字第105118號,大雅區,中清路四段303號,04-25673810,"合法動物醫院,特約狂犬病預防注射",
布萊梅動物醫院,中市獸醫開字第105168號,大甲區,文武路219號,04-26802908,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
劍橋動物醫院北屯分院,中市獸醫開字第 105141號,北區,文心路四段190-2號,04-22916546,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
高頂動物醫院,中市獸醫開字第105034號,太平區,永成北路113號,04-22702869,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
中科動物醫院,中市獸醫開字第105171號,西屯區,玉門路74號(B1-2F),04-24638256,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
杜博動物診所,中市獸醫開字第105109號,南區,國光路379巷2號1樓,04-22859500,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
泡泡動物醫院,中市獸醫開字第105199號,南屯區,龍德路一段102號,04-23833183,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
泰爾動物醫院,中市獸醫開字第105009號,沙鹿區,臺灣大道七段941號,04-26632683,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
湖光動物醫院,中市獸醫開字第105055號,沙鹿區,中山路600號,04-26220519,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
森洧動物醫院,中市獸醫開字第105227號,大里區,中興路二段442-3號,04-24853505,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
建牧動物醫院,中市獸醫開字第105120號,大甲區,通天路276號,04-26815832,合法動物醫院,
?擎獸醫院,中市獸醫開字第105157號,烏日區,溪南路一段152號,04-23358365,合法動物醫院,
宏琳寵物診所,中市獸醫開字第105029號,北屯區,軍功路一段492號1樓,04-24378008,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
珍珠動物醫院,中市獸醫開字第105024號,西區,五權路2-142號,04-23760038,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
巷弄動物醫院,中市獸醫開字第105086號,南區,復興路二段15巷28號,04-22625015,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
樂晨伴侶動物醫院,中市獸醫開字第105013號,北屯區,文心路四段971號,04-22462526,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
中華動物醫院清水分院,中市獸醫開字第106001號,清水區,中山路503號,04-26226696,"合法動物醫院,特約狂犬病預防注射",
櫻花動物醫院,中市獸醫開字第106003號,西屯區,臺中市西屯區文心路三段138-15號,04-23138329,合法動物醫院,
吉美動物醫院,中市獸醫開字第106005號,西屯區,大墩十八街120號一樓及地下一樓,04-23282315,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
默默動物醫院,中市獸醫開字第 106007號,北區,進化路343號,04-23608007,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
佳佳動物醫院,中市獸醫開字第106006號,大里區,仁化路566號,04-24910005,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
貝親動物醫院,中市獸醫開字第 106008號,西屯區,櫻花路128號,04-23155583,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
哈囉彼得動物醫院,中市獸醫開字第106009號,南屯區,東興路二段29號,04-24728828,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
鈞懋動物醫院,中市獸醫開字第 106011號,北屯區,軍福十六路283號,04-24351283,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
波波動物醫院,中市獸醫開字第 106010號,西屯區,寧夏路85號及85之1號,04-23116910,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
巷內有貓動物醫院,中市獸醫開字第107003號,北區,英才路319巷23號,0958-504550,合法動物醫院,
開心動物醫院,中市獸醫開字第107004號,東區,十甲東路622號,04-22136126,合法動物醫院,
艾德動物醫院,中市獸醫開字第107005號,太平區,立功路399號,04-23960089,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
小腳印動物醫院,中市獸醫開字第107006號,北區,太原路三段78-5號,04-22357471,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
國立中興大學獸醫教學醫院向上分院,中市獸醫開字第107007號,西區,向上路一段21號,04-23017891,合法動物醫院,
台灣福懋毛公館動物醫院,中市獸醫開字第108001號,南屯區,公益路二段685號,04-23809513,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
晴天動物醫院,中市獸醫開字第108002號,北屯區,東山路一段216之14號,04-24368220,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
爪子村動物醫院,中市獸醫開字第108003號,南屯區,文心南路38號,04-24739317,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
東海天興動物醫院,中市獸醫開字第108004號,龍井區,遊園南路106號,04-26520187,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
謙谷若松動物醫院,中市獸醫開字第108005號,南屯區,大英街31號,04-24730766,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
康德動物醫院,中市獸醫開字第108007號,北屯區,崇德路二段270號,04-22412700,合法動物醫院,24小時急診
小丹尼寵物醫院,中市獸醫開字第108006號,北屯區,文心路四段217號1樓,04-22955888,"合法動物醫院,特約狂犬病預防注射",
歐米咖動物醫院,中市獸醫開字第109001號,南區,建國南路一段246號,04-22602199,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
貝爾動物醫院,中市獸醫開字第109002號,西屯區,四川路118號,04-23112020,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
易安動物醫院,中市獸醫開字第109004號,大里區,新生西路70號,04-24834110,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
沃可動物醫院,中市獸醫開字第109003號,北屯區,文心路四段776號,04-22368936,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",13:00~24:00
毛克利動物醫院,中市獸醫開字第109005號,北屯區,文心路四段690號,04-22386609,合法動物醫院,
莎拉咪動物醫院,中市獸醫開字第109006號,西區,精誠四街6號,04-23261610,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
毛逗動物診所,中市獸醫開字第109007號,大肚區,遊園路一段176號,04-26915100,"合法動物醫院,委辦急難救助,委辦動物中途收容",
慧安動物醫院,中市獸醫開字第109008號,北屯區,松竹五路二段392號,04-24367576,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
?莫動物醫院,中市獸醫開字第109009號,太平區,宜昌路550號,04-22779688,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦動物中途收容",
小島動物醫院,中市獸醫開字第109011號,西區,三民西路83號,04-23767158,合法動物醫院,
澄心動物醫院,中市獸醫開字第109012號,太平區,太平路642號,04-22756689,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
傳騏動物醫院,中市獸醫開字第109013號,南屯區,永春東七路521號及517號二樓之2,04-23893177,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
格林威治動物醫院,中市獸醫開字第109014號,南屯區,文心路一段486號,04-23202279,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",24小時急診
耐旺福動物醫院,中市獸醫開字第110001號,北屯區,松竹路二段383-5號,04-22479245,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
毛樂動物醫院,中市獸醫開字第110002號,北屯區,建和路二段300號,04-24360030,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
毛博事保健動物醫院,中市獸醫開字第110003號,西屯區,文心路三段138之10號,04-23138329,合法動物醫院,
毛貓寵動物醫院,中市獸醫開字第110005號,南屯區,文心路一段372號,04-23286789,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
羽森林動物醫院,中市獸醫開字第110004號,東區,旱溪西路一段552號,04-22132373,合法動物醫院,
凱特森貓專科醫院,中市獸醫開字第110006號,南屯區,大進街526號,04-23280345,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
喬丹動物醫院,中市獸醫開字第110007號,南屯區,南屯路二段430巷27號,04-23815800,合法動物醫院,
栗子動物醫院,中市獸醫開字第110008號,太平區,中山路三段2之5號,04-23937361,合法動物醫院,
樂樂動物醫院,中市獸醫開字第110009號,北區,中清路一段418號,04-22085862,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
